Date,Price
01/03/2020,350
01/06/2020,310
01/08/2020,310
01/10/2020,320
1/13/2020,320
1/15/2020,320
1/17/2020,320
1/20/2020,380
1/22/2020,380
1/31/2020,420
02/03/2020,420
02/05/2020,420
02/07/2020,420
02/10/2020,380
02/12/2020,450
2/14/2020,500
2/17/2020,700
2/19/2020,750
2/21/2020,800
2/24/2020,800
2/26/2020,750
2/28/2020,680
03/02/2020,650
03/04/2020,600
03/06/2020,550
3/9/2020,520
3/11/2020,550
3/13/2020,550
3/16/2020,600
3/18/2020,600
3/20/2020,600
3/23/2020,580
3/25/2020,570
3/27/2020,500
3/30/2020,500
4/1/2020,500
4/3/2020,500
4/6/2020,500
4/8/2020,500
4/10/2020,500
4/13/2020,520
4/15/2020,530
4/17/2020,530
4/20/2020,530
4/22/2020,480
4/24/2020,480
4/27/2020,440
4/29/2020,400
5/4/2020,440
5/6/2020,420
5/8/2020,420
5/11/2020,420
5/13/2020,420
5/15/2020,400
5/18/2020,380
5/20/2020,380
