Date,Price
22/09/2019,216
29/09/2019,176
06/10/2019,211
13/10/2019,203
20/10/2019,219
27/10/2019,433
03/11/2019,423
10/11/2019,314
17/11/2019,354
24/11/2019,380
01/12/2019,476
08/12/2019,496
15/12/2019,459
22/12/2019,387
29/12/2019,387
05/01/2020,350
12/01/2020,314
19/01/2020,320
26/01/2020,380
02/02/2020,397
09/02/2020,420
16/02/2020,451
23/02/2020,757
01/03/2020,734
08/03/2020,610
01/01/1900,216
02/01/1900,176
03/01/1900,211
04/01/1900,203
05/01/1900,219
06/01/1900,433
07/01/1900,423
08/01/1900,314
09/01/1900,354
10/01/1900,380
11/01/1900,476
12/01/1900,496
13/01/1900,459
14/01/1900,387
15/01/1900,387
16/01/1900,350
17/01/1900,314
18/01/1900,320
19/01/1900,380
20/01/1900,397
21/01/1900,420
22/01/1900,451
23/01/1900,757
24/01/1900,734
25/01/1900,610
