Date,Price
2015-02-08,780
2015-02-15,780
2015-02-22,780
2015-03-01,780
2015-03-08,580
2015-03-15,580
2015-03-22,600
2015-03-29,450
2015-04-05,420
2015-04-12,420
2015-04-19,420
2015-04-26,400
2015-05-03,400
2015-05-10,340
2015-05-17,340
2015-05-24,340
2015-05-31,160
2015-06-07,100
2015-06-14,110
2015-06-21,160
2015-06-28,190
2015-07-05,200
2015-07-12,210
2015-07-19,160
2015-07-26,170
2015-08-02,180
2015-08-09,180
2015-08-16,400
2015-08-23,400
2015-08-30,420
2015-09-06,450
2015-09-13,520
2015-09-20,480
2015-09-27,460
2015-10-04,440
2015-10-11,440
2015-10-18,440
2015-10-25,600
2015-11-01,620
2015-11-08,720
2015-11-15,830
2015-11-22,830
2015-11-29,760
2015-12-06,780
2015-12-13,750
2015-12-20,800
2015-12-27,800
2016-01-03,800
2016-01-10,820
2016-01-17,790
2016-01-24,550
2016-01-31,520
2016-02-07,520
2016-02-14,520
2016-02-21,530
2016-02-28,530
2016-03-06,540
2016-03-13,600
2016-03-20,580
2016-03-27,600
2016-04-03,540
2016-04-10,520
2016-04-17,380
2016-04-24,420
2016-05-01,650
2016-05-08,880
2016-05-15,880
2016-05-22,1000
2016-05-29,1100
2016-06-05,1300
2016-06-12,1200
2016-06-19,1250
2016-06-26,1200
2016-07-03,1200
2016-07-10,1100
2016-07-17,800
2016-07-24,750
2016-07-31,830
2016-08-07,720
2016-08-14,700
2016-08-21,720
2016-08-28,580
2016-09-04,560
2016-09-11,630
2016-09-18,670
2016-09-25,690
2016-10-02,750
2016-10-09,900
2016-10-16,820
2016-10-23,720
2016-10-30,700
2016-11-06,700
2016-11-13,650
2016-11-20,650
2016-11-27,600
2016-12-04,460
2016-12-11,480
2016-12-18,450
2016-12-25,580
2017-01-01,580
2017-01-08,560
2017-01-15,430
2017-01-22,400
2017-01-29,500
2017-02-05,450
2017-02-12,410
2017-02-19,750
2017-02-26,730
2017-03-05,780
2017-03-12,900
2017-03-19,850
2017-03-26,880
2017-04-02,820
2017-04-09,740
2017-04-16,730
2017-04-23,740
2017-04-30,700
2017-05-07,750
2017-05-14,700
2017-05-21,700
2017-05-28,640
2017-06-04,650
2017-06-11,500
2017-06-18,500
2017-06-25,680
2017-07-02,620
2017-07-09,600
2017-07-16,600
2017-07-23,550
2017-07-30,540
2017-08-06,500
2017-08-13,470
2017-08-20,400
2017-08-27,420
2017-09-03,410
2017-09-10,550
2017-09-17,540
2017-09-24,520
2017-10-01,480
2017-10-08,620
2017-10-15,600
2017-10-22,600
2017-10-29,800
2017-11-05,780
2017-11-12,780
2017-11-19,650
2017-11-26,720
2017-12-03,820
2017-12-10,800
2017-12-17,850
2017-12-24,1100
2017-12-31,1000
2018-01-07,1100
2018-01-14,1200
2018-01-21,1300
2018-01-28,1300
2018-02-04,1200
2018-02-11,1200
2018-02-18,1200
2018-02-25,1200
2018-03-04,1150
2018-03-11,1100
2018-03-18,850
2018-03-25,670
2018-04-01,680
2018-04-08,550
2018-04-15,550
2018-04-22,580
2018-04-29,580
2018-05-06,560
2018-05-13,540
2018-05-20,540
2018-05-27,530
2018-06-03,750
2018-06-10,780
2018-06-17,680
2018-06-24,720
2018-07-01,570
2018-07-08,490
2018-07-15,570
2018-07-22,560
2018-07-29,520
2018-08-05,520
2018-08-12,430
2018-08-19,440
2018-08-26,420
2018-09-02,420
2018-09-09,400
2018-09-16,430
2018-09-23,300
2018-09-30,280
2018-10-07,250
2018-10-14,340
2018-10-21,330
2018-10-28,200
2018-11-04,190
2018-11-11,200
2018-11-18,320
2018-11-25,420
2018-12-02,480
2018-12-09,580
2018-12-16,520
2018-12-23,540
2018-12-30,520
2019-01-06,550
2019-01-13,420
2019-01-20,400
2019-01-27,400
2019-02-03,350
2019-02-10,350
2019-02-17,420
2019-02-24,500
2019-03-03,700
2019-03-10,800
2019-03-17,620
2019-03-24,530
2019-03-31,600
2019-04-07,580
2019-04-14,570
2019-04-21,550
2019-04-28,540
2019-05-05,650
2019-05-12,720
2019-05-19,720
2019-05-26,720
2019-06-02,720
2019-06-09,720
2019-06-16,730
2019-06-23,710
2019-06-30,500
2019-07-07,670
2019-07-14,570
2019-07-21,530
2019-07-28,550
2019-08-04,480
2019-08-11,500
2019-08-18,380
2019-08-25,380
2019-09-01,350
2019-09-08,300
2019-09-15,200
2019-09-22,210
2019-09-29,250
2019-10-06,200
2019-10-13,220
2019-10-20,230
2019-10-27,450
2019-11-03,380
2019-11-10,300
2019-11-17,380
2019-11-24,380
2019-12-01,450
2019-12-08,510
2019-12-15,450
2019-12-22,350
2019-12-29,350
